Location (ns?)	Amplitude (V)
 0.08513	14.10000
 0.10745	23.11290
 0.07379	32.34211
 5.29415	53.44987
 0.11372	64.07931
 0.10256	81.14000
 0.10201	82.60000
 0.13966	90.71818
 0.10729	107.32222
 0.10115	113.17692
 0.10967	126.78571
 0.09495	131.46000
 0.09578	135.87778
 0.14441	145.30690
 0.08828	155.62308
 0.09975	164.50000
 0.08859	171.74000
 0.12756	197.12222
 0.08282	203.70000
 0.09239	207.90000
 0.08028	211.37692
 5.07375	223.98078
 0.13351	239.44667
 0.08902	247.85000
 0.15855	261.02000
 0.07855	272.90000
 0.10725	278.53200
 0.12364	291.03333
 0.10500	306.11538
 0.10303	309.63333
 5.19579	337.47284
 0.12629	368.61429
 0.09581	376.83333
 0.12676	388.44667
 0.10189	397.20909
 0.11273	407.00769
 0.08197	414.86364
 0.07687	417.84286
 0.09729	431.22000
 0.09729	437.78000
 0.08427	445.56667
 0.11263	449.68462
 0.11405	466.30000
 0.11113	487.23333
 0.09086	502.30000
 0.09474	505.10000
 0.08698	509.78000
 0.10529	527.22000
 0.09101	534.43333
 0.08476	536.61429
 0.11129	545.10000
 0.13237	582.33448
 0.11103	592.36667
 0.11419	594.07143
 0.09276	601.61429
 0.12720	613.19032
 0.08219	623.92857
 0.07520	626.62000
 0.07735	629.70000
 0.09991	633.08400
 5.23685	657.42056
 0.12772	689.75455
 0.09078	700.30000
 0.11463	707.27778
 0.09115	715.01111
 5.26698	732.48603
 5.14856	750.72558
 0.08504	774.38000
 0.10913	783.10000
 0.12003	792.90000
 0.09950	810.50000
 0.09262	812.06923
 0.08539	814.30000
 0.13100	821.50000
 0.11831	832.91818
 4.77411	856.80000
 0.13213	872.93636
 0.13851	890.45556
 0.14248	899.23333
 0.10212	914.64286
 5.25427	929.61204
 0.13709	939.81304
 0.13310	953.92857
 0.13726	971.45294
 0.12948	989.10000
 5.20803	1005.58415
 0.14813	1028.93636
 0.13112	1049.67143
 0.15475	1060.47419
 0.08778	1072.76667
 0.15637	1080.22500
 0.11507	1087.70000
 0.14377	1102.41579
 0.09800	1116.50000
 0.09455	1118.10000
 0.12805	1130.65000
 0.13094	1132.10000
 0.09832	1151.65238
 0.13655	1161.88065
 5.26868	1177.49140
 0.08510	1192.07143
 0.11076	1204.55333
 0.09389	1211.79091
 0.09630	1214.15000
 0.10925	1226.50000
 0.08750	1234.50000
 5.20687	1250.59987
 0.10230	1263.00000
 0.10033	1267.38889
 0.11178	1274.23333
 0.11419	1277.90000
 0.14853	1283.40769
 0.11528	1296.40400
 0.12679	1305.96667
 0.10462	1317.40667
 0.12176	1325.42727
 0.11034	1344.12857
 0.10255	1349.10000
 0.10381	1351.83333
 0.12762	1367.16667
 0.12255	1385.63333
 0.13076	1404.81111
 0.11895	1408.46000
 5.25833	1429.44115
 0.12582	1447.97059
